F1,F2,F3,F4,F5,F6,P1,L1,T1,F7,T2,L2,P2,F8,L3,P3,F9,T3,F10,C1,T4,T5
0.28073,3655.5,4512.6,9.3743,27.13,42.244,2709.4,75.955,120.41,0.34124,80.749,52.579,2639.2,27.137,49.693,3106.2,24.031,65.993,235.32,341.93,94.564,78.741
0.27829,3650,4547.7,9.3383,27.012,42.003,2717.4,76.187,120.41,0.33972,81.643,48.251,2647.9,25.513,49.425,3113,23.048,66.337,233.93,341.79,94.38,79.57
0.26166,3645.2,4502.5,9.2456,26.498,42.395,2718.4,75.172,120.43,0.33519,81.976,49.108,2648.8,23.858,49.265,3115.6,22.192,66.704,233.18,341.52,94.262,78.922
0.25983,3630.6,4540.5,9.1261,27.079,42.364,2712.3,76.337,120.4,0.33557,81.581,50.656,2642.4,23.778,49.465,3112.6,22.444,66.901,230.83,341.16,94.422,78.276
0.22561,3629.7,4543.4,9.2602,26.943,42.588,2708.4,76.827,120.37,0.33113,81.342,49.865,2638.2,24.967,49.722,3106.3,22.704,66.966,235.37,341.46,94.449,78.053
0.22497,3624.7,4546.4,9.2236,27.114,42.413,2705,76.731,120.4,0.33111,81.188,48.162,2633.9,24.213,49.393,3102.3,21.404,66.943,229.41,340.57,94.667,77.965
0.25734,3717.1,4470,9.0482,27.012,42.264,2700.2,76.015,120.4,0.32354,81.064,50.365,2629.9,25.326,47.471,3098.2,22.585,66.907,231.72,340.4,94.526,77.73
0.26006,3663.6,4534,9.0195,26.955,42.286,2696.5,76.343,120.39,0.32287,81.015,48.456,2625.4,25.283,49.861,3094.6,22.019,66.841,233.09,339.8,94.653,78.128
0.23765,3720.7,4497.8,9.1562,26.621,41.908,2693.2,76.41,120.39,0.34428,81.195,50.187,2622.7,23.905,49.935,3090.7,21.21,66.841,230.52,339.72,94.565,78.032
0.24076,3698.2,4468.5,9.0842,27.112,42.099,2688.1,76.3,120.39,0.34449,81.192,50.827,2617.1,24.445,49.098,3086.9,21.683,66.875,229.28,338.56,94.741,77.872
0.31749,3702.2,4484.7,9.0902,26.926,42.12,2687.5,76.65,120.41,0.3258,81.306,51.077,2616,25.308,49.662,3086,22.005,66.869,230.2,338.44,94.674,77.914
0.31602,3727.9,4474.8,9.0208,27.022,42.001,2684.1,76.283,120.39,0.32566,81.406,47.548,2612.3,23.307,49.679,3083.5,22.579,66.927,227.48,337.79,94.609,78.397
0.28246,3636.7,4519,8.9224,26.736,42.062,2680.1,76.411,120.39,0.34031,81.41,49.725,2608.5,24.316,49.108,3077.7,22.307,66.974,228.44,337.11,94.79,77.807
0.2807,3643.1,4525.3,9.005,26.926,42.168,2676.1,76.252,120.39,0.34497,81.44,50.852,2604.9,26.242,48.332,3074.9,21.62,66.976,225.86,336.76,94.945,77.919
0.24787,3675.5,4584.7,8.7488,26.757,41.963,2672.6,76.026,120.36,0.34158,81.431,50.773,2600.5,23.676,51.734,3072.7,22.505,66.991,227.33,335.95,94.934,77.856
0.24976,3655.6,4544.9,8.9325,27.063,41.987,2669.8,75.962,120.39,0.34164,81.588,48.883,2597.8,24.435,49.591,3069.3,21.843,66.995,223.51,335.21,94.998,77.958
0.23513,3645,4479.3,8.8678,26.871,42.135,2664.3,75.861,120.37,0.36433,81.631,50.729,2590.7,25.662,49.762,3066.7,22.444,67.022,223.13,333.28,95.127,77.852
0.23325,3618.4,4512.1,8.8301,26.911,41.69,2659.8,77.281,120.38,0.36204,81.65,50.123,2586.3,26.108,48.707,3061.9,22.871,67.011,223.56,333.24,95.147,77.775
0.33542,3607,4514.9,8.7199,26.804,42.384,2656.3,76.364,120.4,0.3332,81.595,48.621,2582.5,26.754,50.796,3061,23.119,66.995,221.04,331.85,95.268,77.628
0.33553,3616.4,4494.5,8.9945,27.255,41.868,2654,76.069,120.37,0.33363,81.62,52.344,2580.2,25.339,50.963,3058.3,22.913,66.946,218.51,331.54,95.275,77.514
0.26802,3608.5,4459.5,9.0937,26.849,41.772,2652.8,76.1,120.38,0.35934,81.838,49.221,2579.6,23.053,51.054,3056.1,22.291,66.928,219.74,331.21,95.151,78.054
0.26695,3614.1,4424.5,9.0224,26.758,42.309,2648.8,76.737,120.39,0.3553,81.978,50.406,2576.2,25.018,49.756,3054,22.858,66.925,218.68,330.43,95.382,78.156
0.35483,3610.9,4428.7,8.8528,26.88,41.741,2648,76.221,120.38,0.35583,82.047,50.849,2574.1,24.59,51.05,3053.6,22.557,66.962,216.41,329.42,95.272,77.635
0.35711,3606.9,4408.4,9.0138,27.015,41.725,2644.7,75.733,120.4,0.3551,81.856,48.761,2570.9,26.758,50.399,3050.9,22.022,66.914,215.29,329.14,95.505,77.815
0.30325,3696.5,4407.3,8.9387,26.812,41.937,2644.2,75.757,120.43,0.36021,82.092,49.672,2571.4,24.589,50.332,3050.1,22.617,66.883,215.43,329.43,95.166,78.019
0.30407,3699,4376.2,8.9836,27.043,41.833,2642.2,75.05,120.43,0.35685,82.295,49.3,2568.6,22.898,50.677,3048.1,23.601,66.884,214.26,328.73,95.141,78.018
0.35159,3567.4,4315.8,8.8617,26.791,42.432,2637.9,75.312,120.4,0.35526,82.24,50.811,2563.8,25.816,49.17,3045.4,23.679,66.92,213.03,328.26,95.264,77.836
0.35152,3575.5,4277.4,8.9637,26.701,41.557,2635.9,75.422,120.41,0.35529,82.281,49.678,2561.4,24.852,50.116,3043.4,22.294,66.938,212.37,327.82,95.34,77.816
0.29853,3612.4,4370.4,8.9146,27.054,42.134,2633.2,75.512,120.39,0.32401,82.169,49.908,2558.8,25.202,50.166,3041.5,21.619,66.878,212.05,327.82,95.426,77.825
0.29736,3578,4388.2,9.0906,27.182,41.603,2632,74.879,120.39,0.32062,82.057,48.076,2557.4,25.275,50.844,3039.2,22.64,66.809,211.08,327.72,95.334,77.823
0.32374,3597.3,4397.2,9.057,26.663,42.181,2632.3,74.631,120.4,0.36506,82.156,49.201,2558.3,25.087,51.113,3039.1,23.317,66.763,213.18,328,95.449,77.799
0.32351,3580.4,4380.5,9.1297,26.916,42.151,2630.8,75.203,120.4,0.36735,82.103,51.99,2556.2,23.421,50.805,3039.8,22.088,66.746,214.5,327.7,95.332,77.706
0.35426,3602,4264.9,9.1361,26.772,42.028,2631.5,75.005,120.4,0.35241,82.086,48.704,2557.4,26.547,49.669,3039.4,23.34,66.703,215.48,328.44,95.411,77.635
0.35354,3564,4288.5,9.1815,26.798,41.869,2634.4,73.962,120.41,0.3505,82.292,50.358,2560.5,24.332,50.669,3041.3,23.4,66.721,215.18,328.6,95.214,78.453
0.3469,3555.6,4286.7,9.1962,26.751,42.337,2637.5,73.286,120.39,0.36522,82.479,50.9,2563.5,25.919,50.073,3043.9,23.152,66.761,215.05,329.31,95.45,78.291
0.34818,3569.8,4271.8,9.1293,27.057,41.693,2639.1,73.752,120.41,0.36345,82.432,49.705,2565.2,25.879,50.204,3045,23.596,66.845,215.12,329.68,95.076,78.134
0.32596,3594.7,4351.3,9.2704,26.815,42.262,2640.8,74.559,120.42,0.36325,82.411,49.192,2567.4,25.89,50.993,3047.1,22.439,66.842,220.85,330.67,95.35,78.491
0.329,3626.2,4324,9.2998,26.862,41.995,2640.3,73.258,120.41,0.36133,82.327,49.606,2566.9,25.746,49.499,3046.5,21.85,66.887,220.18,331.13,94.915,78.046
0.33598,3574.1,4313.4,9.3866,26.934,42.177,2639.2,73.455,120.43,0.34609,81.929,50.738,2565.7,23.351,49.906,3046.2,23.573,66.865,221.93,331.93,95.257,77.743
0.33431,3624.3,4330.7,9.4969,26.347,42.31,2643.4,72.652,120.42,0.34408,81.941,50.437,2570.2,25.501,51.638,3046.5,21.88,66.784,223.21,333.35,94.898,78.023
0.3439,3658.7,4261.7,9.4329,26.639,42.529,2645.4,73.037,120.41,0.36296,81.874,49.45,2572.3,26.071,51.261,3050,24.284,66.75,224.79,333.77,95.036,77.764
0.34527,3662.3,4266.1,9.4362,26.923,42.455,2649.4,73.517,120.46,0.36036,82.09,50.95,2577.4,24.308,48.724,3052.8,24.076,66.75,225.86,335.22,94.535,78.358
0.31273,3575.4,4285.6,9.4203,26.668,42.68,2649.3,73.182,120.43,0.36934,81.81,51.754,2575.8,26.456,49.035,3051.5,23.789,66.796,224.84,336.04,95.005,77.935
0.31444,3592.1,4333.6,9.5226,26.579,42.301,2652.1,73.446,120.4,0.3711,81.759,50.473,2579.6,25.841,50.326,3051.2,23.116,66.768,228.38,337.13,94.662,78.102
0.25191,3639.1,4312.9,9.3686,26.917,42.311,2655.3,73.189,120.4,0.37328,81.926,50.342,2583.7,26.127,49.061,3056.1,22.274,66.758,229.51,337.94,94.885,78.419
0.25018,3636.9,4298.3,9.6611,27.159,42.467,2658.3,72.554,120.41,0.37081,81.944,50.545,2586.7,25.237,49.359,3058.6,22.261,66.815,230.22,338.75,94.652,78.073
0.27493,3614.1,4336.4,9.51,27.187,42.568,2659,72.524,120.4,0.38389,81.547,50.082,2586.9,24.895,49.818,3059.1,23.69,66.8,229.53,339.53,94.736,78.016
0.27776,3611.1,4340,9.5718,27.128,42.245,2663.1,73.111,120.4,0.3834,81.465,50.43,2591,26.056,49.747,3061.9,23.928,66.738,233.32,340.41,94.767,78.384
0.25231,3639.3,4365.1,9.6848,26.726,42.452,2668.9,73.201,120.4,0.36768,81.573,50.478,2597.4,25.201,48.458,3066.6,21.938,66.713,234.88,341.73,94.682,78.411
0.24847,3651.8,4295.9,9.6381,27.206,42.317,2673.5,72.815,120.42,0.37045,81.5,51.408,2603.2,26.505,50.052,3070.1,23.615,66.719,234.46,342.9,94.566,78.446
0.24496,3663.9,4325.2,9.6069,27.103,42.332,2678.2,72.189,120.44,0.35737,81.359,49.516,2607.3,25.671,50.702,3073.8,21.785,66.736,236.05,344.09,94.596,78.422
0.24513,3608.2,4308.1,9.7035,26.883,42.615,2684.4,73.283,120.4,0.35968,81.436,48.372,2615.1,24.135,49.869,3078,23.413,66.73,239.46,345.48,94.533,78.734
0.26788,3634.4,4377.3,9.696,26.874,42.37,2690.4,73.068,120.4,0.35949,81.254,49.649,2619.4,25.974,48.705,3084.5,22.49,66.741,237.6,346.16,94.298,78.105
0.26677,3614.4,4347.3,9.7182,26.826,42.441,2695.8,72.414,120.43,0.3603,81.081,50.358,2625.1,25.448,49.874,3088.3,22.973,66.663,236.76,347.53,94.368,78.455
0.17099,3705.7,4368.5,9.74,26.998,42.32,2697.7,72.705,120.43,0.3846,80.965,48.947,2627.7,25.741,49.774,3089.9,23.059,66.642,241.64,348.11,94.301,78.461
0.17256,3696.9,4328.1,9.825,26.517,42.783,2701,73.472,120.43,0.38564,80.909,49.718,2631.8,25.635,49.889,3092,22.989,66.568,239.63,349.35,94.15,78.173
0.1563,3643.4,4410.2,9.7913,27.016,42.779,2704,73.514,120.41,0.33908,80.624,50.576,2634.6,25.744,48.78,3093.4,23.958,66.485,237.11,350.5,94.233,77.592
0.15565,3666.7,4419.5,9.6018,26.808,42.413,2708.3,73.583,120.4,0.33786,80.407,49.845,2639.1,24.12,47.376,3095.2,22.588,66.331,237.67,351.2,94.334,77.886
