F1,F2,F3,F4,F5,F6,P1,L1,T1,F7,T2,L2,P2,F8,L3,P3,F9,T3,F10,C1,T4,T5
0.29102,3657.6,4503.7,9.1946,26.955,42.373,2700.9,75.197,120.37,0.34142,80.217,49.958,2629.4,24.613,48.268,3098.3,23.864,65.593,226.53,340.65,94.412,77.586
0.29079,3662.4,4513.4,9.3242,26.759,42.678,2702.6,75.123,120.41,0.34284,80.461,50.165,2631,24.148,51.266,3099.6,23.58,65.664,225.51,341,94.6,77.82
0.24482,3633.2,4569.4,9.2433,26.817,42.259,2701.2,74.875,120.4,0.32625,80.483,50.21,2630.3,24.001,49.578,3099,22.211,65.751,222.51,340.63,94.442,77.171
0.24479,3627.7,4585.5,9.3243,26.332,42.624,2697.6,75.361,120.37,0.32698,80.105,50.7,2627,25.097,49.334,3094.7,22.419,65.721,225.4,341.05,94.776,76.919
0.27966,3682.7,4516.2,9.2457,26.502,42.06,2696.1,75.381,120.37,0.32132,79.859,47.552,2623.5,24.637,48.95,3094,23.385,65.632,224.71,340.49,94.746,76.875
0.28026,3638.3,4534.3,9.2398,26.892,42.433,2698.9,74.912,120.41,0.32442,80.04,49.516,2627.2,25.114,49.397,3096.2,22.582,65.521,225.14,340.38,94.729,77.194
0.28061,3683.5,4525.1,9.3611,26.766,42.128,2700,74.916,120.38,0.33197,80.086,50.224,2628.7,27.217,50.984,3097.7,22.888,65.517,225.55,340.75,94.701,77.357
0.28154,3666.7,4532.8,9.2867,26.674,42.469,2700.8,75.395,120.41,0.32756,80.275,51.091,2629.6,25.016,50.843,3099,23.496,65.545,224.78,340.67,94.458,77.497
0.22143,3711.4,4537.5,9.2703,27.001,41.996,2700.4,74.559,120.39,0.34266,80.457,51.722,2629.3,26.978,49.576,3098.5,23.74,65.617,223.64,340.27,94.49,77.521
0.2225,3709.7,4531.1,9.0915,26.858,42.387,2698.8,75.177,120.42,0.34356,80.631,50.043,2628,25.953,50.328,3097,22.907,65.715,226.53,340.46,94.255,77.244
0.23826,3656.6,4557.7,9.2387,27.332,42.227,2694,74.412,120.38,0.32587,80.386,49.502,2622.9,24.336,50.387,3093.6,23.11,65.772,223.29,339.88,94.679,77.18
0.24186,3624.5,4448.7,9.3344,27.118,42.31,2691.7,75.434,120.42,0.32254,80.254,51.156,2618.9,23.958,49.825,3090.8,22.847,65.782,226.64,339.52,94.683,76.936
0.25049,3674.3,4543.7,9.2663,26.784,41.932,2690.3,74.451,120.37,0.35226,80.215,50.326,2618.7,25.564,51.738,3089.1,23.32,65.745,226.47,339.4,94.79,77.165
0.24894,3656.7,4489.8,9.3425,26.864,42.086,2690.9,74.961,120.41,0.3462,80.352,50.08,2618.8,24.082,49.398,3089,22.292,65.724,226.22,339.02,94.623,77.453
0.27753,3632.4,4485,9.3563,26.814,41.956,2691.2,75.249,120.37,0.3381,80.343,49.195,2618.9,26.68,49.754,3090.5,22.938,65.742,228.83,338.87,94.881,77.22
0.27778,3694.4,4469.3,9.255,27.009,42.006,2691,74.448,120.44,0.33963,80.345,51.068,2618.5,27.067,50.487,3090,22.687,65.763,228.32,339.17,94.609,77.243
0.29786,3678,4482.1,9.3697,26.871,42.481,2690.5,75.431,120.41,0.3398,80.34,51.048,2618.3,23.606,49.823,3091.7,24.095,65.777,228.63,339.03,94.692,77.23
0.29692,3704.7,4500.5,9.2444,27.081,42.536,2691.4,75.523,120.43,0.3383,80.486,49.749,2618.6,26.133,50.676,3092.2,22.959,65.825,228.14,338.32,94.426,77.37
0.24996,3687.6,4547.4,9.3791,26.897,42.465,2690.7,75.632,120.38,0.35055,80.457,49.66,2618.2,26.161,50.465,3090.5,22.465,65.858,231.02,338.67,94.661,77.472
0.24816,3686.2,4545.6,9.2385,26.597,42.087,2689.3,75.602,120.41,0.34879,80.491,50.304,2616.3,25.261,50.774,3090.3,23.701,65.868,228.14,338.58,94.47,77.121
0.29269,3691.7,4499.9,9.1873,27.033,42.429,2687.4,74.958,120.38,0.34746,80.336,51.222,2613.8,24.371,51.37,3088.3,22.589,65.888,228.7,338.1,94.706,77.132
0.29004,3690.2,4501.3,9.2809,26.897,42.07,2689.3,75.404,120.4,0.35214,80.642,48.666,2616,25.534,49.778,3088.7,22.868,65.918,230.32,338.11,94.535,77.84
0.24706,3635.5,4473,9.3748,26.64,42.378,2688.9,74.775,120.39,0.35292,80.681,50.013,2615.3,25.544,47.778,3087.5,22.909,65.993,231.53,338.3,94.696,77.218
0.24696,3623.9,4459.2,9.3415,26.949,43.009,2684.7,75.116,120.39,0.35305,80.309,48.521,2610.1,23.847,51.906,3085.1,22.659,65.991,230.48,337.9,94.826,76.952
0.25577,3668.1,4526.1,9.2608,26.89,41.997,2685.3,75.742,120.4,0.36489,80.264,51.467,2610.8,24.007,51.098,3084.6,23.25,65.942,232.5,338.2,94.71,77.185
0.25771,3698.7,4520.1,9.4274,26.854,42.603,2685.8,75.465,120.4,0.36003,80.374,50.351,2609,26.181,51.683,3087.6,23.466,65.92,231.49,337.24,94.667,77.348
0.27695,3628.9,4461.2,9.376,26.929,42.399,2688.3,74.879,120.4,0.35202,80.595,48.558,2611.9,26.008,51.496,3087.6,22.916,65.947,231.24,337.47,94.721,77.713
0.27736,3652.7,4456.8,9.3406,26.808,42.032,2688.9,75.14,120.4,0.35032,80.721,50.341,2612.5,25.089,49.799,3088.9,22.821,66.012,231.83,337.31,94.53,77.53
0.23507,3686,4395.4,9.2698,26.927,42.312,2687.1,74.105,120.43,0.35379,80.677,48.575,2610.9,24.464,49.012,3087.5,22.14,66.068,230.92,337.66,94.739,77.46
0.2342,3686.6,4396.6,9.3558,27.024,42.493,2683.9,74.376,120.38,0.35131,80.4,49.056,2606.5,27.298,49.729,3084.8,23.45,66.045,233.41,337.22,94.651,77.111
0.24369,3680.8,4442.7,9.2697,27.169,41.738,2684,75.081,120.39,0.35613,80.471,50.919,2606.3,26.094,49.615,3084,23.232,66.032,232.19,337.29,94.754,77.42
0.24593,3673.8,4397.6,9.4897,26.817,42.367,2684.4,74.269,120.39,0.3566,80.471,48.125,2606,24.362,49.206,3084,23.566,66.047,233.66,337.21,94.574,77.29
0.26244,3674.7,4481.2,9.3196,26.638,42.435,2685.6,73.502,120.41,0.33487,80.53,49.272,2607.4,25.803,49.434,3084.4,22.918,66.078,235.25,337.36,94.762,77.293
0.26331,3614.6,4460,9.2186,27.115,42.339,2686.2,75.026,120.39,0.33352,80.442,49.253,2606.4,25.009,50.333,3085,22.967,66.096,234.9,337.16,94.688,77.256
0.26926,3649.2,4496.7,9.4704,26.974,42.299,2687.6,75.091,120.43,0.34937,80.468,49.61,2606.3,25.468,51.653,3088.6,23.232,66.126,239.75,336.7,94.754,77.386
0.26925,3688.8,4474.6,9.4785,26.894,42.283,2689.6,74.815,120.4,0.34784,80.51,51.529,2608.4,23.654,50.327,3090.6,22.915,66.14,237.82,336.37,94.527,77.599
0.26476,3599.5,4493.3,9.3787,26.676,42.326,2692.4,75.469,120.42,0.3743,80.661,48.142,2609.6,25.191,49.879,3091.9,23.336,66.208,238.58,337.1,94.677,77.868
0.26675,3607.7,4465.2,9.3858,26.797,42.234,2693.3,74.065,120.34,0.37282,80.635,50.409,2610.1,24.248,52.219,3093.7,23.404,66.287,235.51,336.47,94.736,77.287
0.27417,3648.9,4505.6,9.4358,26.706,42.775,2695.2,74.339,120.42,0.35253,80.54,49.304,2611.9,22.606,49.609,3093.5,22.937,66.268,239.73,337.53,94.658,77.553
0.27517,3651.7,4480.3,9.351,26.717,42.823,2695.4,74.522,120.38,0.34947,80.287,49.673,2610.1,24.629,49.993,3095.2,22.274,66.245,239.82,336.95,94.676,77.109
0.20542,3678.5,4524.6,9.4248,26.702,42.099,2694.2,75.709,120.4,0.34126,80.132,50.904,2608.1,26.327,49.715,3091.7,23.281,66.184,238.14,337.74,94.571,77.076
0.20437,3687.7,4494,9.5054,26.986,42.845,2694.6,74.41,120.41,0.34005,80.119,49.939,2608,26.993,50.07,3092.7,23.596,66.124,236.47,336.94,94.564,77.149
0.24384,3701.8,4474.3,9.4077,26.575,42.024,2696.6,74.342,120.43,0.35476,80.198,48.887,2608.8,25.431,48.853,3095.1,21.706,66.067,239.96,337.35,94.497,77.471
0.24296,3724.5,4494.8,9.4455,26.563,42.181,2696.1,75.169,120.38,0.35245,80.064,50.274,2607.4,26.112,50.636,3094.5,21.967,66.054,240.31,336.18,94.406,76.884
0.21966,3740.6,4465.6,9.3495,26.88,42.196,2694,74.175,120.44,0.33925,79.884,49.459,2603.5,25.801,49.884,3092,22.428,66.016,239.6,336.75,94.501,77.001
0.21629,3736.2,4449.3,9.3713,27.164,42.22,2696,74.754,120.39,0.33848,80.14,49.852,2604.4,24.802,49.469,3093.1,22.825,65.984,239.03,336.16,94.43,77.456
0.22633,3710.9,4491.1,9.5754,26.811,42.451,2696.4,74.21,120.41,0.329,80.162,51.055,2603.5,24.557,50.71,3095.5,22.816,66.026,239.96,335.15,94.503,77.336
0.22761,3687.9,4465.3,9.4868,26.932,42.065,2700.2,73.963,120.38,0.33227,80.456,49.131,2606.1,25.969,50.962,3098.5,23.046,66.08,238.75,335.21,94.283,77.756
0.23353,3672.2,4516.9,9.3413,27.1,42.287,2701.2,75.23,120.42,0.34715,80.47,48.102,2605.5,25.422,51.046,3099.2,22.784,66.186,239.45,334.58,94.606,77.335
0.23379,3644.9,4475.7,9.4187,26.749,42.27,2698.3,75.005,120.36,0.34822,80.05,49.366,2600.6,26.025,51.031,3097.1,22.935,66.179,239.65,333.84,94.47,76.755
0.249,3583.3,4500.1,9.3745,26.812,42.523,2698.9,74.284,120.37,0.33234,79.938,47.979,2599.3,27.354,49.949,3096.4,22.72,66.116,239.37,333.71,94.692,77.058
0.24802,3628.8,4564.5,9.4549,27.116,41.996,2704.3,75.53,120.36,0.33248,80.018,51.073,2602.7,26.399,52.045,3098.7,23.887,66.045,241.23,334.09,94.769,77.201
0.266,3688.6,4480.6,9.3383,26.839,42.264,2706.5,74.877,120.42,0.34834,80.132,51.703,2603.7,25.796,49.7,3103.3,22.49,66.033,236.87,333.44,94.553,77.392
0.26545,3705.9,4420.9,9.4455,26.845,41.902,2707.7,75.418,120.38,0.34764,80.121,48.948,2603.4,23.295,49.946,3103.4,21.841,66.04,235.17,333.76,94.525,77.156
0.26833,3738.6,4451.7,9.4066,26.698,42.243,2706.2,74.389,120.42,0.34142,79.713,50.67,2599.5,25.473,49.919,3102.4,22.816,65.956,237.61,332.66,94.556,76.336
0.26967,3715.9,4493.4,9.45,26.863,42.693,2704,74.993,120.41,0.34497,79.345,49.674,2593.7,24.905,47.647,3101.9,21.563,65.799,238.95,331.08,94.423,76.796
0.26798,3716.2,4443.5,9.4143,26.793,42.346,2706.1,73.769,120.42,0.32029,79.492,52.194,2595.2,24.287,48.509,3100.8,25.316,65.701,238.05,332.19,94.422,77.121
0.26937,3740.5,4456.3,9.4331,26.97,42.507,2710.9,74.011,120.39,0.32001,79.931,50.458,2598.3,27.26,50.545,3104.7,23.273,65.741,235.52,331.14,94.382,77.343
0.20573,3677.2,4450.6,9.3484,27.226,42.418,2708.5,75.714,120.4,0.35312,79.836,49.012,2592.3,26.197,51.816,3101.8,22.266,65.775,235.34,330.45,94.422,76.418
0.20547,3657,4494.9,9.353,26.726,42.583,2703.9,74.598,120.38,0.34934,79.471,49.033,2584.5,24.168,50.762,3097.3,23.402,65.757,236.01,328.46,94.614,76.588
0.20559,3631.2,4527.8,9.3274,27.065,42.652,2704.8,75.009,120.39,0.32328,79.391,51.087,2582.1,23.742,48.734,3097.9,22.651,65.658,233.03,327.38,94.753,76.571
0.20841,3649.7,4492,9.434,26.744,42.072,2705.2,74.259,120.37,0.3246,79.269,49.882,2578.6,23.673,49.485,3098.3,22.91,65.565,233.49,325.5,94.718,76.613
0.20489,3594.6,4571.3,9.4739,27.021,42.946,2689.7,75.369,120.36,0.33853,79.301,51.663,2596.9,26.142,49.808,3092.7,23.324,65.472,232.89,334.69,95.102,77.07
0.20763,3630.3,4541.6,9.4314,27.066,42.559,2695.8,74.731,120.4,0.33321,80.086,51.364,2624.3,25.961,48.939,3093,23.32,65.486,231.31,341.45,94.917,78.261
0.2394,3665.1,4508.1,9.3813,26.588,42.513,2705.3,75.592,120.44,0.36681,80.674,51.397,2634.4,22.971,50.212,3101.2,22.97,65.649,229.16,341.96,94.549,78.334
0.23652,3682.7,4531.4,9.4188,26.944,42.386,2709.9,74.577,120.43,0.36473,80.978,49.22,2638.7,24.302,50.059,3106.4,23.678,65.879,228.58,342.18,94.456,78.096
0.24666,3672.1,4461.4,9.2535,27.193,42.015,2709.8,75.285,120.43,0.33615,80.829,49.168,2638.7,25.245,49.962,3107.3,22.19,66,225.48,341.74,94.405,77.775
0.24635,3691.1,4490.5,9.3122,26.121,42.353,2703.7,76.212,120.4,0.33746,80.242,50.024,2631.5,24.462,49.108,3102.2,23.172,65.985,225.79,341.59,94.387,77.052
0.23012,3694.4,4503.9,9.4362,26.784,42.735,2701.1,73.885,120.41,0.33305,79.914,49.711,2627.7,24.999,50.782,3099.8,22.468,65.822,224.92,341.52,94.657,77.015
0.22915,3678.9,4500.8,9.4618,26.998,41.89,2700.7,75.13,120.39,0.32986,79.8,51.503,2626.3,26.707,50.391,3097.4,22.619,65.684,225.03,341.82,94.478,76.855
0.24357,3634.8,4471.8,9.2953,26.863,42.527,2703.8,75.228,120.4,0.32555,79.941,49.306,2629.8,25.889,51.119,3099.3,24.479,65.567,226.7,342.06,94.601,77.598
0.24291,3676.6,4509,9.4549,26.616,42.432,2707.9,75.565,120.4,0.32488,80.347,49.527,2633.5,24.358,50.026,3103.6,22.702,65.595,225.61,341.52,94.467,77.839
0.21943,3653.9,4460.7,9.4244,26.877,42.339,2708.5,75.14,120.39,0.34043,80.407,49.061,2633.5,25.011,51.756,3103.5,22.587,65.676,226.39,341.63,94.568,77.571
0.22023,3669.4,4490.2,9.3755,26.776,42.167,2706.3,75.679,120.42,0.34644,80.053,49.949,2629.4,26.445,50.001,3102.6,21.876,65.652,225.4,341.51,94.505,76.787
0.21578,3661.7,4531.4,9.3647,27.337,42.051,2703.4,75.663,120.37,0.32764,79.747,49.655,2625.7,24.645,49.066,3099.8,22.224,65.551,224.77,341.06,94.747,76.735
0.21815,3696,4516.2,9.316,26.838,41.922,2705.4,74.816,120.4,0.32269,79.759,51.702,2627.3,25.902,49.044,3098.9,22.443,65.438,224.88,341.46,94.641,76.959
0.25157,3702.8,4521.1,9.3199,26.981,42.721,2706,74.417,120.39,0.33785,79.697,50.185,2625.4,24.644,50.806,3103.3,23.115,65.392,228.21,340.54,94.674,77.139
0.2508,3703.9,4516,9.3097,26.297,42.49,2710.3,75.236,120.43,0.33317,79.937,49.625,2628.1,26.772,50.944,3105.2,23.646,65.418,228.51,339.83,94.406,77.216
0.22228,3714.9,4522.8,9.4559,26.68,42.658,2710.6,75.366,120.38,0.34123,80.046,50.207,2627.3,24.674,49.159,3106,22.883,65.458,228.84,339.77,94.456,77.242
0.2202,3651.5,4530,9.3756,26.694,42.3,2710,74.726,120.42,0.33748,79.938,48.61,2624.1,25.055,48.237,3104.7,21.96,65.485,228.16,339.24,94.461,77.043
0.23623,3701.5,4543.2,9.2212,27.082,42.447,2709.2,75.293,120.41,0.34173,79.808,50.933,2621.6,24.119,48.768,3105.6,22.874,65.464,228.86,338.33,94.424,76.665
0.23537,3695.3,4565.9,9.4409,27.036,42.33,2707.8,75.069,120.41,0.33863,79.664,50.452,2617.1,25.302,50.61,3104.8,23.559,65.432,225.37,337.26,94.519,76.742
0.26452,3700.2,4453.6,9.3721,27.022,42.177,2708.3,74.988,120.42,0.33644,79.699,51.082,2614.6,25.989,47.596,3104.1,24.158,65.386,224.41,336.79,94.503,76.904
