F1,F2,F3,F4,F5,F6,P1,L1,T1,F7,T2,L2,P2,F8,L3,P3,F9,T3,F10,C1,T4,T5
0.26513,3644.3,4528.6,9.3149,26.721,42.414,2706.2,74.896,120.38,0.34428,79.976,50.146,2634.6,24.862,49.304,3104.8,23.583,65.947,236.65,341.16,94.765,77.283
0.26532,3640.6,4550.5,9.3937,27.184,42.686,2708.3,76.084,120.42,0.34177,80.007,52.182,2636.4,24.834,49.174,3105.5,23.244,65.888,234.71,341.65,94.677,77.14
0.23291,3666.9,4505.3,9.4548,27.369,42.188,2707,74.568,120.37,0.34931,79.941,49.684,2636.2,26.959,51.536,3103.2,23.029,65.876,233.01,341.66,94.612,77.365
0.23505,3619,4466.1,9.2796,26.488,42.005,2708.2,75.284,120.4,0.35276,80.068,51.328,2637.7,26.238,50.639,3103.7,24.268,65.823,233.24,342.14,94.762,77.324
0.25517,3688,4535.1,9.356,26.953,42.402,2710.3,74.983,120.43,0.33611,80.3,50.308,2639.5,23.753,49.276,3107.4,22.384,65.863,233.78,341.48,94.422,77.276
0.2558,3659.1,4551.2,9.3167,27.413,42.553,2709.1,75.356,120.39,0.33391,80.078,48.888,2638,26.041,51.132,3106.6,22.602,65.878,234.62,341.61,94.624,77.14
0.21975,3608.5,4559.8,9.3496,26.752,42.231,2709.2,74.5,120.41,0.34145,80.25,50.112,2638.4,25.674,49.62,3104.3,23.804,65.893,234.14,341.71,94.462,77.863
0.21887,3627,4539.9,9.4355,26.795,42.659,2707.9,75.178,120.4,0.33976,80.262,49.527,2636.8,27.723,50.637,3105.2,23.102,65.919,232.76,341.72,94.852,77.114
0.22158,3630,4501.3,9.4093,27.023,42.268,2704.9,74.655,120.36,0.35181,79.884,48.83,2631.7,24.125,49.468,3102.4,22.836,65.885,232.37,341.47,94.676,76.754
0.22385,3593.6,4526.8,9.3222,27.104,42.533,2704.1,74.371,120.4,0.3502,79.633,48.909,2633,26.027,50.057,3101.2,23.382,65.74,231.28,341.23,95.056,77.059
0.20317,3649.1,4451,9.3394,26.47,42.244,2708.1,74.323,120.4,0.33913,79.835,50.353,2637.3,25.316,48.989,3103,22.809,65.701,235.01,341.62,94.791,76.89
0.2032,3642.7,4465.2,9.4394,26.587,42.237,2710.5,75.059,120.39,0.33842,79.85,49.588,2639.7,25.224,50.814,3105,23.893,65.669,236.24,341.91,94.911,77.52
0.25366,3659.6,4475.9,9.4213,26.972,42.43,2714.7,75.562,120.42,0.33802,80.164,50.563,2643.8,24.686,49.953,3113,23.754,65.744,234.89,341.45,94.608,77.698
0.25444,3677.5,4472.8,9.3384,26.59,42.384,2720.1,75.02,120.39,0.33634,80.317,50.863,2649,24.813,50.072,3115.7,22.399,65.845,236.7,341.89,94.702,77.541
0.22549,3613.1,4512,9.3325,27.176,42.637,2719.2,75.437,120.37,0.31763,79.981,49.207,2648,26.167,50.008,3117,23.063,65.862,236.18,341.61,94.845,77.228
0.22752,3585.2,4557.3,9.4273,27.151,42.397,2724.9,75.491,120.39,0.31921,79.985,49.45,2653.5,25.053,49.752,3119.6,22.338,65.83,237.81,341.97,94.896,77.639
